part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
Heckklappe/-tuer,Tailgate / tuer,Kratzer,scratch,Heckklappe,Tailgate,Folgekosten moeglich.,Subsequent costs possible.,auslegen / polieren,Lay out / polish
Kotfluegel links,Kotfluegel left,Delle / Lackschaden,Delle / paint damage,Kotfluegel links,Kotfluegel left,None,None,sanft instandsetzen,regain
Tuer hinten rechts,Rear right,Dellen,Dents,Tuer,Door,innen.,Inside.,lackieren,paint
Seitenwand rechts,sidewall right,verkratzt / verschuerft,scratched / shot,Radhausverbreiterung,Wheelhouse widening,Steinschlag.,Rockfall.,instandsetzen und lackieren,Repair and paint
Stossfaenger vorn,Shearful front,nicht fachgerecht instandgesetzt,not professionally repaired,Stossfaenger vorn,Shearful front,"Farbunterschiede,Schleifspuren,Kante verschliff.,orangenh.","Color differences, grinding tracks, edge dashed., Orangenh.",erneuern,renew
Stossfaenger hinten,Rear bumper,Marderschaden,Marten damage,Stossfaenger hinten,Rear bumper,Tragbild schlecht,Load picture bad,befunden ggf. instandsetzen,Defaults if necessary repair
Motorhaube,Engine Hood,verschlissen,worn,Motorhaube,Engine Hood,Sommerreifen. Reifenverschleiß einseitig innen.,Summer tires. Tire wear on one side inside.,Wertminderung,Impairment
Bremsanlage,Brake system,gebrochen / gerissen,Broken / torn,Daemmmatte,Dorm,"Tragbild,Korrosion,stark eingelaufen,Riefenbildung.","Load picture, corrosion, greatly run, called up.",Smart Repair,Smart Repair
Rad/Reifen,Wheel / tire,Fehlstellung,Miss,Bremsscheiben und Belaege hinten,Brake Discs and Belae Rear,Chromleiste.,Chrome bar.,Korrosion,corrosion
Tuer vorn rechts,Tower right,abgelaufen,expired,Reifen hinten,Tire rear,"mitte, Silber.","Middle, silver.",None,None
Ausruestung,Equipment,beschaedigt,damaged,Bremsscheiben und Belaege vorn,Brake discs and bubbles front,"Orangenhaut,lack matt & gerissen.","Orange skin, paint Matt & torn.",aufbereiten,processing
Verkleidungen/Abdeckungen,Clothes / covers,Steinschlag,Rockfall,Schutzleiste links,Protective strip left,Links.,Left.,instandsetzen,repair
Sitz vorn,Seat,teillackieren.),Partially lacquer.),Parksensoren links,Parking sensors left,Sommerreifen. Verformung Aussenflanke.,Summer tires. Deformation outer flank.,instandsetzen/lackieren (S2),Repair / paint (S2)
Tuer vorn links,Tower left,leer,empty,Spoiler,spoiler,"Sommerreifen. Saegezahnbildung, Laute Abrollgeraeusche.","Summer tires. Saegzahnbildung, loud rolling gear.",Dellen,Dents
Außenspiegel rechts,Exterior mirror right,Lackmangel,Lack of paint,Tirefit Fuellmittel,Tirefit Fuel,Seit 02/2020.,Since 02/2020.,kein Abzug,no deduction
Tuer hinten links,Door in the back left,verformt,deformed,Dachhimmel,Sky,Batterie,battery,instandsetzen/lackieren (S3),Repair / paint (S3)
Fahrzeugdach,Vehicle roof,Korrosion,corrosion,Leichtmetallfelge vorn links,Light metal rim on the front left,seit 07/2020,since 07/2020,durchfuehren,execute
Verglasung,glazing,Abrieb,Abrasion,Leichtmetallfelge vorn rechts,Alloy wheel front right,Lackveraetzung.Schleifen/Polieren.Folgekosten moeglich,Paint accompanying. Grinding / polishing. Expenses possible,instandsetzen/lackieren (S1),Repair / paint (S1)
Schweller links,Sills left,Hagelschaden,Hail damage,Leichtmetallfelge hinten rechts,Light metal frame rear right,Lackabloesung.,Lackblösung.,Delle / Lackschaden,Delle / paint damage
Seitenwand links,Sidewall left,kein Nachweis,no proof,Leichtmetallfelge hinten links,Alloy wheel rear left,Ganzjahresreifen. Reifenverschleiß einseitig innen.,All-season tires. Tire wear on one side inside.,reinigen,to clean
